City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,broome,42.2506,-75.833,3.9,81,100,5.14,US,1675828638
270,padang,-0.9492,100.3543,30.03,58,89,1.79,ID,1675828638
271,cabedelo,-6.9811,-34.8339,23.37,77,99,3.83,BR,1675828639
272,kangaba,11.9333,-8.4167,24.65,19,7,2.01,ML,1675828640
273,richards bay,-28.783,32.0377,22.65,94,33,3.5,ZA,1675828641
274,domoni,-12.2569,44.5319,26.57,83,100,3.19,KM,1675828641
275,coquimbo,-29.9533,-71.3436,17.85,88,100,2.57,CL,1675828641
276,xique-xique,-10.8218,-42.7263,24.19,63,72,2.83,BR,1675828642
277,ginda,30.6945,78.4932,12.64,13,12,1.39,IN,1675828643
278,saint anthony,45.0205,-93.218,-1.04,79,0,3.09,US,1675828531
279,kamina,-8.7386,24.9906,17.42,95,100,0.29,CD,1675828643
280,kahului,20.8947,-156.47,25.01,77,40,9.77,US,1675828479
281,timmins,48.4669,-81.3331,-5.1,80,100,6.17,CA,1675828644
282,tezu,27.9167,96.1667,21.6,42,99,1.48,IN,1675828645
283,turukhansk,65.8167,87.9833,-16.14,96,100,2.4,RU,1675828646
284,yarmouth,41.7057,-70.2286,2.23,85,75,4.12,US,1675828646
285,kismayo,-0.3582,42.5454,24.87,84,9,6.48,SO,1675828647
286,ibra,22.6906,58.5334,21.14,46,59,1.06,OM,1675828647
287,kavieng,-2.5744,150.7967,27.64,78,100,4.11,PG,1675828363
288,acapulco,16.8634,-99.8901,24.3,76,2,2.58,MX,1675828648
289,new norfolk,-42.7826,147.0587,16.72,36,5,2.72,AU,1675828369
290,timizart,36.8,4.2667,8.65,67,100,1.62,DZ,1675828649
291,pangnirtung,66.1451,-65.7125,-33.91,84,5,2.44,CA,1675828649
292,beidao,34.5686,105.8933,5.86,72,100,1.27,CN,1675828650
293,ilo,-17.6394,-71.3375,22.76,86,77,1.66,PE,1675828651
294,narsaq,60.9167,-46.05,-27.77,66,16,4.1,GL,1675828651
295,salinas,36.6777,-121.6555,11.67,81,0,1.54,US,1675828523
296,totma,59.9747,42.7642,-7.01,91,100,4.02,RU,1675828652
297,pucallpa,-8.3791,-74.5539,24.02,94,40,0.0,PE,1675828653
298,juneau,58.3019,-134.4197,1.23,97,75,1.54,US,1675828499
299,huron,41.1501,-82.5499,4.82,90,73,2.77,US,1675828654
300,lagoa,39.05,-27.9833,12.78,63,86,6.63,PT,1675828654
301,vilhena,-12.7406,-60.1458,19.8,98,53,0.93,BR,1675828655
302,arkhangelsk,64.5401,40.5433,2.06,93,100,6.0,RU,1675828652
303,sovetskaya gavan,48.9723,140.2878,-12.68,64,72,3.17,RU,1675828656
304,santo antonio do ica,-3.1022,-67.9397,23.08,99,98,0.54,BR,1675828657
305,saldanha,-33.0117,17.9442,18.03,89,0,4.65,ZA,1675828657
306,westport,41.1415,-73.3579,4.88,87,100,1.79,US,1675828658
307,cao bang,22.6667,106.25,17.51,98,100,1.1,VN,1675828658
308,ust-maya,60.4167,134.5333,-32.1,90,100,0.19,RU,1675828659
309,kissimmee,28.3047,-81.4167,18.88,81,0,2.57,US,1675828219
310,miri,4.4148,114.0089,31.08,66,20,1.54,MY,1675828660
311,arlit,18.7369,7.3853,20.47,17,100,1.7,NE,1675828660
312,shaunavon,49.6501,-108.4181,-2.12,81,82,6.28,CA,1675828661
313,thinadhoo,0.5333,72.9333,27.16,74,25,2.98,MV,1675828661
314,payo,-3.7508,103.6372,31.44,54,57,1.85,ID,1675828661
315,morgan city,29.6994,-91.2068,19.44,94,100,2.57,US,1675828662
316,lima,-12.0432,-77.0282,24.94,79,0,5.14,PE,1675828569
317,kasongo-lunda,-6.4667,16.8167,19.48,97,100,0.45,CD,1675828662
318,bagdarin,54.4333,113.6,-13.55,66,14,0.44,RU,1675828455
319,sharjah,25.3573,55.4033,23.16,33,0,4.12,AE,1675828596
320,saint george,37.1041,-113.5841,8.33,49,0,1.79,US,1675828663
321,norwich,52.6278,1.2983,1.29,96,4,2.06,GB,1675828663
322,nosy varika,-20.5833,48.5333,23.46,89,67,2.37,MG,1675828664
323,canavieiras,-15.675,-38.9472,24.27,80,21,2.47,BR,1675828664
324,flensburg,54.7833,9.4333,-0.16,86,71,2.06,DE,1675828665
325,laguna,38.421,-121.4238,10.99,77,0,0.0,US,1675828665
326,samoylovka,51.184,43.7081,-14.0,90,6,4.98,RU,1675828665
327,fayetteville,35.0527,-78.8784,12.49,70,0,2.06,US,1675828666
328,hit,33.6416,42.8251,8.01,55,29,3.68,IQ,1675828666
329,axim,4.8699,-2.2405,25.07,87,100,1.4,GH,1675828666
330,bathsheba,13.2167,-59.5167,24.34,88,40,5.14,BB,1675828667
331,scottsbluff,41.8666,-103.6672,1.83,67,0,3.58,US,1675828626
332,novokayakent,42.3937,47.9861,0.51,69,86,6.5,RU,1675828668
333,presidente epitacio,-21.7633,-52.1156,21.81,95,32,1.88,BR,1675828668
334,bhawanipatna,19.9,83.1667,27.15,26,1,1.3,IN,1675828668
335,chiredzi,-21.05,31.6667,20.61,82,59,0.87,ZW,1675828669
336,jinchang,38.4953,102.1739,0.22,80,100,1.36,CN,1675828669
337,hanmer springs,-42.5167,172.8167,19.61,35,30,3.74,NZ,1675828670
338,orotukan,62.2667,151.7,-30.85,95,100,1.09,RU,1675828670
339,fukuma,33.7667,130.4667,15.16,53,8,4.2,JP,1675828670
340,vardo,70.3705,31.1107,-1.01,80,19,9.77,NO,1675828671
341,la tijera,19.9,-104.4,12.08,91,35,0.87,MX,1675828671
342,mount gambier,-37.8333,140.7667,23.11,45,12,5.48,AU,1675828671
343,meulaboh,4.1363,96.1285,28.73,65,69,0.52,ID,1675828672
344,marzuq,14.4,46.4667,17.99,46,18,2.39,YE,1675828508
345,tongchuan,35.0806,109.0897,3.68,87,100,5.53,CN,1675828672
346,marsh harbour,26.5412,-77.0636,21.93,62,0,8.17,BS,1675828673
347,dibrugarh,27.4833,94.9,16.03,94,100,4.12,IN,1675828673
348,iqaluit,63.7506,-68.5145,-33.15,75,40,2.57,CA,1675828673
349,apodi,-5.6642,-37.7989,24.88,77,85,1.45,BR,1675828674
350,houston,29.7633,-95.3633,21.22,87,100,7.72,US,1675828342
351,sergeyevka,53.88,67.4158,-21.16,99,89,2.79,KZ,1675828674
352,belaya gora,68.5333,146.4167,-40.86,99,74,1.25,RU,1675828675
353,belmonte,-15.8631,-38.8828,25.02,79,19,3.5,BR,1675828675
354,ihiala,5.8538,6.8603,24.05,87,8,1.0,NG,1675828675
355,luau,-10.7073,22.2247,17.54,94,100,1.35,AO,1675828676
356,ulladulla,-35.35,150.4667,20.31,78,100,0.96,AU,1675828676
357,daru,-9.0763,143.2092,29.71,71,99,4.33,PG,1675828676
358,jalu,29.0331,21.5482,8.74,61,81,2.77,LY,1675828677
359,quatre cocos,-20.2078,57.7625,26.16,78,43,7.15,MU,1675828677
360,leshukonskoye,64.8989,45.7622,0.86,99,100,3.85,RU,1675828678
361,indramayu,-6.3264,108.32,27.0,79,95,4.19,ID,1675828678
362,broken hill,-31.95,141.4333,31.46,14,0,5.33,AU,1675828678
363,turayf,31.6725,38.6637,3.14,93,75,7.2,SA,1675828679
364,port blair,11.6667,92.75,28.02,69,40,4.63,IN,1675828679
